,회사명,공고명,경력,학력,계약유형,지역,채용기간
0,㈜세종교육,"[IT취업률100프로]개발자 채용연계(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비생 선착순 모집",신입·경력,학력무관,연수생/교육생,경기 성남시 외,D-11
1,㈜하이미디어아카데미,[전액무료IT개발자취업생모집]JAVA개발자/풀스택개발자/AI서비스개발자,신입·경력,학력무관,연수생/교육생,강원,D-16
2,휴먼교육센터,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),신입·경력,학력무관,연수생/교육생,서울 영등포구 외,D-5
3,㈜케이씨씨,[KCC] 2024 하반기 IT(전산) 부문 신입/경력 채용,신입·경력3년↑,초대졸↑,정규직,서울 서초구,D-11
4,한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,신입·경력,고졸↑,연수생/교육생,서울,오늘마감
5,(주)이컴라인,"2.[인덕원] 자바, JAVA, 은행, 금융, 뱅킹업업무, 뱅킹상시전담반, 중급",경력6년↑,초대졸↑,프리랜서,경기 안양시,D-28
6,이컴라인,"1.[여의도] 자바, JAVA, 증권, 금융, 퇴직연금, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-22
7,㈜이컴라인,"6.[여의도] JAVA, Vue.js, React, Spring, HTML, JSP, JavaScript,  jquery, JSON, WEB/WAS 이해, 금융, 증권, 채널, 프로트앤드, 백앤드, Front-end/Back-end 경험자 (Front-end 위주 개발), 초급, 중급, 초상, 자바, 리액트, 스프링, 자바사크립트, 뷰",경력3년↑,초대졸↑,프리랜서,서울 영등포구,D-21
8,㈜이컴라인,"6.[염창동] 금융, 증권, 자바, java, 은행, 중급",경력6년↑,초대졸↑,프리랜서,서울 강서구,D-18
9,(주)이컴라인,"2.[염창동]펀드, 자바, java, 은행, 금융, 고급",경력10년↑,초대졸↑,프리랜서,서울 강서구,D-18
10,(주)이컴라인,"2.[수지] 자바, java, 카드, 금융, 백앤드, 중급, 고급",경력6년↑,초대졸↑,프리랜서,경기 용인시,D-18
11,이컴라인,"9.[여의도] 보험, 금융, 퇴직연금,  JAVA, spring, WebSquare, OZ Report, 웹스퀘어, 자바, 스프링, 전자정부f/w, 전자정부프레임웍, 전자정부프레임워크, 운영, 유지보수, sm, 중급, 고급",경력10년↑,학력무관,프리랜서,서울 영등포구,D-16
12,이컴라인,"1.[여의도] 자바, 증권, 금융, java, 정보계, 고급",경력6년↑,초대졸↑,프리랜서,서울 영등포구,D-15
13,이컴라인,"8.[여의도] JAVA, SPRING, Devops, 보험, 금융, 운영, 유지보수, QA, 자바, 전자정부F/W, 전산관련 학과 졸업 or 전산 경력자 영어 가능한 분(메일 및 문서 독해 수준) 중급",경력6년↑,초대졸↑,프리랜서,서울 영등포구,D-1
14,㈜포이시스,[부산] 금융 운영 업무 자바 웹개발자 채용 공고(경력),경력5년↑,초대졸↑,정규직 외,부산 남구,D-48
15,경동물류,경동(R&D) 웹개발 자바 Java Jsp 개발자 경력모집 (3-6년차),경력3년↑,초대졸↑,정규직,경기 김포시,D-14
16,레몬헬스케어,[레몬헬스케어] 자바 백엔드 개발자 모집,경력3년↑,학력무관,정규직,서울 금천구,D-11
17,푸른IT,천안 S대기업 생산 프로젝트 ( 자바개발자 ) 중급 4명 고급 2명,경력6년↑,초대졸↑,프리랜서,충남 아산시,D-9
18,낙스넷㈜,중급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력6년↑,초대졸↑,프리랜서,경남 창원시,D-6
19,낙스넷㈜,초급 자바개발자 모집 - 창원시 L대기업 전산실 수년간 장기 근무,경력3년↑,초대졸↑,프리랜서,경남 창원시,D-6
20,이컴라인,"12.[공덕역] 증권 금융, JAVA, Spring, Rest API, jquery, ELK Stack, 자바, 전자정부F/W, 중급",경력6년↑,초대졸↑,프리랜서,서울 마포구,D-24
21,푸른IT,천안 S대기업 생산 프로젝트 Vue.js 공통모듈 ( 자바개발자 ) 9월초부터 5개월,경력9년↑,초대졸↑,프리랜서,충남 아산시,D-7
22,이컴라인,"12.[여의도] 자바, java, jsp, 증권, 금융, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-21
23,리드피플㈜,긴급 / 은행프로젝트 / JAVA / React.JS  다수 경험 필수 (또는 1년이상 경험) / 남대문 / 고급 1명 / 8월 중순 - 6개월이상 / 상세내용 참고,경력10년↑,대졸↑,계약직 외,서울 중구,D-10
24,이컴라인,"12.[여의도] 금융, 증권, 자바, java, 정보계, 고급",경력10년↑,초대졸↑,프리랜서,서울 영등포구,D-10
25,혁산정보시스템,JAVA개발부문 경력자 채용,경력3년↑,초대졸↑,정규직,서울 영등포구,D-3
26,"㈜리스트 (LIST Co.,Ltd)",자바 백앤드 개발자 경력 모집,경력3년↑,초대졸↑,정규직,서울 강서구,D-22
27,(주)글로벌아카데미,(병점역) 자바/파이썬/RPA  SW개발 강사 채용,경력5년↑,대졸↑,계약직 외,경기 화성시,D-29
28,㈜소프트윈텍,[오창] Java React 개발(9월),경력7년↑,초대졸↑,계약직 외,충북 청주시,D-5
29,㈜소프트윈텍,[마곡] Java React 분석 설계 개발(9월중순-5개월),경력7년↑,초대졸↑,계약직 외,서울 강서구,D-5
30,㈜미르이즈,"자바개발자 채용 초급,정규직",경력1년↑,초대졸↑,정규직,서울 마포구,D-29
31,솔크정보,"[SI]NH농협경제지주 축산경제통합시스템 개발, Java 중급 이상(7년 이상자)(9/9 투입, 경기도 의왕시)",경력7년↑,학력무관,계약직,서울 영등포구,D-29
32,㈜성우정보,자바/websquare 고급 구합니다(분딩),경력9년↑,학력무관,프리랜서,경기 성남시,D-28
33,㈜케이엔비윈텍,(염창동 )국민은행 IB  통합플랫폼 구축 자바개발자 모집,경력7년↑,초대졸↑,계약직,서울 구로구,D-2
34,㈜하이미디어멀티캠퍼스,[하이미디어컴퓨터학원 구로점] 풀스택 자바개발/웹퍼블리셔/영상편집/세무회계/OA 강사님을 모집합니다.,경력2년↑,고졸↑,정규직 외,서울 구로구,D-58
35,㈜위고,"AI기반 TA개발 및 분석, 설계전문가로 성장할수있는 JAVA백엔드 개발신입사원 모집 합니다.",신입,학력무관,정규직,서울 영등포구,D-28
36,㈜더유엠에스,급구/차세대/9월부터/27개월/분석설계/철도업무/다수경험한분만지원하세요/자바/수서역근처,경력6년↑,학력무관,계약직 외,서울 마포구,D-3
37,㈜에이블짐정보,[신입/경력] JAVA/JSP 백엔드 웹프로그래머 정규직/프리랜서 채용,신입·경력,학력무관,정규직 외,서울 송파구,D-25
38,㈜제이앤밸류,"[대전]  웹,자바(java,spring,sql)개발자모집(신입,정규직,지방근무가능자 우대)",신입,대졸↑,정규직,대전 유성구,D-9
39,㈜플랜잇파트너스,[경력] 자바 백엔드 및 프론트 개발자 경력 채용,경력3년↑,초대졸↑,정규직,서울 강남구,D-55
40,에스씨301의원,성형외과 웹개발자(서버/풀스택/php/자바),경력3년↑,대졸↑,정규직,서울 강남구,D-25
41,양재미디어㈜,JAVA 웹 개발자 채용 (개발/SM),경력2년↑,학력무관,정규직,서울 영등포구,D-55
42,㈜우리인재개발원,자바 / 파이썬 국기과정 훈련교사 모집,경력1년↑,대졸↑,계약직,경기 부천시,D-55
43,가천대학교 산학협력단,자바스크립트 FullStack개발자 채용,신입,학력무관,계약직 외,인천 남동구,D-24
44,클로우플레이크㈜,[정규직] 자바개발자를 구인합니다.,경력7년↑,초대졸↑,정규직,서울 강서구,D-24
45,라이너스,"솔루션사업팀 / 개발자 채용 (자바,스프링,스프링부트)",경력4년↑,대졸↑,정규직,서울 강남구,D-24
46,잠보 소프트,"java, php개발자를 모십니다. (가산디지털단지)",경력1년↑,초대졸↑,정규직,서울 금천구,D-24
47,이젠아카데미컴퓨터학원,"[이젠아카데미 인천]K-디지털,자바,파이썬,정보처리산업기사 강의 훈련교사 채용",경력무관,초대졸↑,정규직 외,인천 남동구,D-3
48,㈜제이앤밸류,"[대전]  웹,자바(java,spring,sql)경력직 모집(지방근무가능자 필수)",경력5년↑,대졸↑,정규직,대전 유성구,D-11
49,(주)제이엠피코리아,"자바 풀스택, 파이썬/데이터분석 국비훈련 강사 모집",경력5년↑,대졸↑,계약직,서울 구로구,D-23
50,㈜피씨엔,[SI개발] (주)피씨엔 자바 개발자 채용(경력직),경력3년↑,학력무관,계약직,서울 종로구,D-23
51,㈜데이타뱅크,"의료기관(병원) SM SI 개발자 모집(JAVA, Xplatform, Himed)",경력1년↑,초대졸↑,정규직 외,대구 수성구,D-33
52,㈜조인아이티,"Si(전자 SPC 개발)/마곡역/즉시-4개월/중급-고급/java,react,경험자/",경력6년↑,학력무관,계약직 외,서울 강서구,D-22
53,플레이키키,자바개발자를 모십니다. - 주 1회 출근 -,경력3년↑,학력무관,정규직 외,서울 강남구,D-22
54,혁산정보시스템,JAVA 개발 및 유지보수 경력직 채용,경력3년↑,초대졸↑,정규직,서울 영등포구 외,D-22
55,㈜데이터플로,Java 백엔드 프로그래밍,경력무관,학력무관,정규직 외,서울 강남구,D-22
56,㈜진커뮤니케이션,"[JAVA, React]시스템 운영 및 개발",경력5년↑,학력무관,정규직,서울 금천구,D-2
57,㈜오픈에스티,서초동 공공기관 자바 포탈 개발자 구함,경력7년↑,초대졸↑,정규직 외,서울 금천구 외,D-21
58,메가소프트㈜,Java-SCM 차세대- 설계 및 개발 프리 (중급상 이상  ),경력8년↑,초대졸↑,프리랜서,서울 강남구,D-18
59,㈜슈가브릭스,[분당 야탑][경력] 자바 개발자를 모십니다.,경력6년↑,초대졸↑,프리랜서,경기 성남시,D-18
60,JMP코리아,"[JAVA개발/인천(서구)/10월투입] JAVA, 웹스퀘어, 데이터이행 프리랜서 채용",경력5년↑,학력무관,프리랜서,인천 서구 외,D-33
61,㈜글로벌인,[일본취업 연계] 일본 IT 자바 웹개발자 전액국비지원 연수생 모집,경력무관,고졸↑,연수생/교육생,서울 영등포구 외,D-16
62,이젠컴퓨터학원,"(EZEN) 일산캠퍼스 -  풀스택 JAVA,파이썬. 강사님 모십니다",경력무관,학력무관,정규직,경기 고양시,D-16
63,디더블유아카데미학원,"풀스택 교사 채용(Front-end,자바, 스프링, 데이터베이스)",경력1년↑,대졸↑,정규직 외,대전 중구,D-16
64,㈜비인텍,[세종/경력직] 정규직JAVA 개발자 채용,경력3년↑,초대졸↑,정규직,세종 전지역,D-9
65,㈜지호아이앤씨,자바 개발 /시스템 유지보수,경력10년↑,초대졸↑,정규직,서울 중구,D-15
66,㈜베스티아소프트,10444. JAVA 금융권개발 및 운영 - SI-SM,경력무관,학력무관,정규직 외,인천 연수구,D-15
67,더휴먼컴퓨터아트아카데미,자바(JAVA) 훈련교강사 채용합니다.,신입·경력1년↑,초대졸↑,계약직 외,경기 수원시,D-25
68,나우정보시스템,구미자바개발자-24년 09월,경력5년↑,학력무관,계약직 외,경북 구미시,D-44
69,더조은컴퓨터학원,"[더조은컴퓨터 구로] 자바, 파이썬, 플러터, SQLD자격증 강사 채용",경력무관,학력무관,계약직,서울 구로구,D-41
70,㈜성우정보,자바/vue.js 고급 인력 구합니다,경력9년↑,학력무관,프리랜서,서울 강남구,D-11
71,㈜모블,"백엔드, Node.JS, 스프링, 자바 프로그래밍 강의 전문강사 채용",경력무관,초대졸↑,계약직,충남 천안시,D-11
72,㈜글로벌인,[일본취업 연계] 일본 IT 자바 웹개발자 연수생 모집 (전액국비지원),경력무관,고졸↑,연수생/교육생,서울 영등포구 외,D-10
73,㈜대우능력개발교육원,자바 기반 웹개발자 보안코딩 시간제 강사 지원,경력,초대졸↑,계약직 외,서울 중랑구,D-10
74,㈜베스티아소프트,"10443. JAVA, React.js 시스템운영 및 개발 -SI / SM",경력무관,학력무관,정규직 외,인천 연수구,D-10
75,나야넷,자바(Java) 웹 개발자 경력 채용,경력4년↑,학력무관,정규직,서울 금천구,D-39
76,인천 그린컴퓨터아카데미,"웹디자인(HTML,CSS,자바스크립트,피그마) 저녁반/주말반 선생님 모십니다.",경력무관,초대졸↑,프리랜서,인천 부평구,D-9
77,㈜아만타,"[신입, 경력] 웹 퍼블리싱, html5, 자바스크립트 개발자",신입·경력,학력무관,정규직,서울 관악구,D-8
78,토피아정보기술㈜,1. 은행/보험/증권/디자인/기획/퍼블리셔/AA/DA/Nexacro/ABAP/Python/IOS/Android/VC++/C++/C#.NET/Java,경력,학력무관,정규직 외,서울 금천구,D-1
79,㈜이빗,[EBIT] AI Trainer - JAVA 개발자 모집 (풀재택/파트타임),경력무관,대졸↑,프리랜서 외,서울 강남구 외,상시채용
80,㈜아이서티,JAVA웹개발자(경력직) 채용,경력5년↑,초대졸↑,정규직,서울 성동구,D-7
81,(재)국가관세종합정보망운영연합회,"자바 개발자(프리랜서) 모집(서울 송파, 대전 서구 만년동)",경력2년↑,초대졸↑,프리랜서,서울 송파구 외,D-7
82,시스케이정보,[세종/대전/오송][재택 일부업무][유연근무][출퇴근시간 조정가능]웹개발자 자바(JAVA)개발자 모집합니다,경력,학력무관,프리랜서,세종 전지역,상시채용
83,㈜오픈시스,자바웹프로그램 개발(신입) 모십니다,신입,대졸↑,정규직,서울 은평구 외,D-3
84,수테크시스템즈㈜,Java(자바) 개발자 정규직 채용,경력무관,고졸↑,정규직,서울 금천구,D-3
85,㈜상생소프트,"웹 개발(자바, jsp) 경력직-프리랜서 채용",경력6년↑,고졸↑,프리랜서,서울 송파구,D-3
86,㈜상생소프트,"웹 개발(자바, JSP) 신입/경력-정규직/프리랜서 채용",신입·경력,고졸↑,정규직 외,서울 송파구,D-3
87,㈜씨씨미디어서비스,"[경력] [웹]자바설계 및 개발/C,C++ 백엔드 개발/ DBA 채용",경력10년↑,대졸↑,정규직 외,서울 구로구 외,D-2
88,빅스데이터㈜,[개발본부] 경력 자바개발자 모집(7년이상),경력7년↑,대졸↑,정규직,서울 강남구,D-32
89,㈜글로텍,[경력]JAVA 기반 웹 개발자 모십니다.,경력5년↑,학력무관,정규직,서울 구로구,D-2
90,㈜세종교육,자바 개발자 과정 강사 채용,경력무관,학력무관,정규직,경기 성남시,D-1
91,메가소프트㈜,"EAI 운영( 자바, 리눅스 -오라클DB 경험자 4-7년차 )",경력4년↑,초대졸↑,정규직 외,경기 성남시,D-1
92,㈜피코이노베이션,"Java, Spring 정규직 채용(경력사원)",경력6년↑,초대졸↑,정규직,서울 서초구,D-3
93,밴코,JAVA 자바 웹개발자 백엔드 담당 개발자 모십니다,경력5년↑,학력무관,정규직,서울 영등포구,상시채용
94,㈜앱메이드,"JAVA 개발-금융,공공,일반기업 운영개발[SM,SI]",경력1년↑,초대졸↑,정규직 외,서울 강남구,상시채용
95,㈜아이티원,웹(Java) 개발자 경력 채용,경력3년↑,초대졸↑,정규직,경기 수원시,D-25
96,㈜세찬아이앤씨,[판교/구로] 자바/웹 응용프로그램 개발 경력자 채용,경력3년↑,초대졸↑,정규직,경기 성남시,D-22
